advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	text	Text	16	1	250000	10000	31650	600
Liberal Alliance Djursland		AR73057599863390208	Google	text	Text	24	1	240000	0	1200	0
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	text	Text	13	1	220000	10000	32850	750
Saku Petteri Räty		AR196651502918434816	Google	text	Text	19	1	190000	0	2750	200
Vapaus ry		AR124593908880506880	Google	text	Text	18	1	180000	0	900	0
Projekt Európa		AR303746959120793600	Google	text	Text	17	1	170000	0	850	0
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	text	Text	7	1	160000	10000	1700	150
Kristdemokraterna		AR332197922001125376	Google	text	Text	6	1	150000	10000	1650	150
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	text	Text	6	1	150000	10000	750	50
Jukka Kopra		AR232680299937398784	Google	text	Text	4	1	130000	10000	1100	100
Euroopassa Suomen Tähden ry		AR176823734856843264	Google	text	Text	3	1	120000	10000	600	50
AfD-Kreisverband Braunschweig		AR201649882778304512	Google	text	Text	12	1	120000	0	600	0
Sloboda a Solidarita		AR242125929453715456	Google	text	Text	12	1	120000	0	1950	150
Klassiskt Liberala Partiet		AR214800866480226304	Google	text	Text	3	1	120000	10000	600	50
Liberal Alliance		AR183859784640888832	Google	text	Text	11	1	110000	0	2800	250
Slovenska demokratska stranka		AR170068335415787520	Google	text	Text	10	1	100000	0	500	0
HEADS, s.r.o.		AR356967719951663104	Google	text	Text	1	1	100000	10000	30000	500
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	text	Text	8	1	80000	0	850	50
Kresťanská únia		AR358916054556082176	Google	text	Text	8	1	80000	0	400	0
Janika Takatalo		AR113027046556303360	Google	text	Text	7	1	70000	0	800	50
Studio Montrucchio Capello snc		AR159631771044937728	Google	text	Text	6	1	60000	0	300	0
Dansk Folkeparti - Århus Lokalforening		AR167070242084749312	Google	text	Text	6	1	60000	0	750	50
Venstre Egedalkreds		AR439052860034908160	Google	text	Text	6	1	60000	0	300	0
DOPRAVA		AR56197688563073024	Google	text	Text	6	1	60000	0	1650	150
Uusmaalaisten puolesta ry		AR139371345157816320	Google	text	Text	5	1	50000	0	2050	200
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	text	Text	5	1	50000	0	700	50
Flamesite s.r.o.		AR522320249995919360	Google	text	Text	4	1	40000	0	200	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	text	Text	3	1	30000	0	150	0
Sozialdemokratische Partei Österreich		AR89974685768351744	Google	text	Text	3	1	30000	0	1050	100
Venstre på Østerbro		AR129592288740376576	Google	text	Text	3	1	30000	0	1050	100
Tėvynės Sąjunga – Lietuvos krikščionys demokratai		AR186518403756851200	Google	text	Text	2	1	20000	0	550	50
Fondation Populaire		AR320938922932699136	Google	text	Text	2	1	20000	0	100	0
Solidarité DéFI		AR156613886504599552	Google	text	Text	2	1	20000	0	550	50
GroenLinks		AR148211418645135360	Google	text	Text	1	1	10000	0	50	0
Volt Nederland		AR24721694316822528	Google	text	Text	1	1	10000	0	50	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	text	Text	1	1	10000	0	500	50
Michael Aastrup Jensen		AR92226485582036992	Google	text	Text	1	1	10000	0	50	0
Eesti Reformierakond		AR547139251091800064	Google	text	Text	1	1	10000	0	500	50
